Country,Name,Daily%,1 week%,1 Month%,YTD%,1 Year%,3 Years%
United States,US 30,0.4,-1.96,-1.44,1.3,12.35,11.54
United States,US 500,0.33,-1.24,0.45,7.85,24.0,22.83
United States,US Tech 100,0.21,-0.35,1.29,7.31,37.89,28.51
United States,Small Cap 2000,-0.32,-3.49,-2.0,-1.23,11.74,-11.72
United States,S&P 500 VIX,-1.38,9.99,15.63,20.13,-8.02,-0.72
Germany,DAX,0.67,-1.62,1.27,7.97,14.6,17.99
France,CAC 40,0.48,-1.73,-2.49,5.68,7.18,27.17
United Kingdom,FTSE 100,0.39,0.37,2.95,2.99,1.47,14.53
Euro Zone,Euro Stoxx 50,0.86,-1.16,-1.49,8.78,14.11,24.08
Italy,FTSE MIB,0.65,-1.05,-1.1,9.31,21.87,36.15
Switzerland,SMI,0.28,-0.97,-2.18,2.29,0.41,1.85
Spain,IBEX 35,0.1,-2.37,0.44,5.75,14.12,24.14
Russia,RTS,0.84,0.66,2.76,4.86,17.22,-21.66
Poland,WIG20,0.37,-2.48,4.1,2.91,30.03,21.47
Netherlands,AEX,0.15,-0.43,2.95,11.49,16.21,22.95
Brazil,iBovespa,0.19,-2.34,-1.23,-7.06,16.42,3.84
Japan,Nikkei 225,0.93,-0.69,2.21,17.49,38.09,32.06
Japan,TOPIX,-0.24,0.71,4.12,16.29,35.88,40.13
Hong Kong,Hang Seng,0.33,-1.74,-1.19,-3.47,-19.11,-42.94
Hong Kong,China H-Shares,-2.07,0.24,1.34,1.79,-14.69,-46.52
China,CSI 300,-0.71,-1.77,-2.1,1.16,-14.98,-29.9
Singapore,China A50,2.59,0.6,0.68,6.25,-7.02,-27.33
Australia,S&P/ASX 200,-0.01,-1.19,0.65,2.47,5.48,10.5
Singapore,Singapore MSCI,-1.64,-1.47,-1.41,-0.03,-6.68,-20.75
India,Nifty 50,-1.06,-1.69,1.04,2.18,25.46,52.69
India,Bank NIFTY,-1.82,-1.77,2.43,-1.64,13.37,49.11
South Korea,KOSPI 200,-0.46,-2.2,1.62,1.17,9.47,-14.88
Singapore,SGX FTSE Taiwan F,-0.12,-1.29,1.94,11.03,23.6,14.03
South Africa,South Africa 40,-1.13,-1.15,2.52,-3.86,-6.95,6.14
Germany,TecDAX,0.61,-1.7,-1.19,0.46,1.26,-4.3
