Country,Name,Daily%,1 Week%,1 Month%,YTD%,1 Year%,3 Years%
United States,Dow Jones,0.34,-2.03,-1.58,1.09,12.44,11.41
United States,S&P 500,0.26,-1.3,0.34,7.65,24.1,22.67
United States,Nasdaq,0.02,-0.49,1.26,7.74,33.41,15.1
United States,Small Cap 2000,-0.4,-3.85,-2.23,-1.64,11.94,-11.88
United States,S&P 500 VIX,-0.35,13.23,19.36,38.15,0.76,5.85
Canada,S&P/TSX,-0.13,-1.75,0.1,4.35,6.27,13.02
Brazil,Bovespa,0.1,-2.1,-0.46,-5.98,18.7,4.16
Mexico,S&P/BMV IPC,-0.18,-2.68,0.37,-1.65,3.63,15.83
,MSCI World,0.11,-1.58,-0.25,5.85,18.72,13.59
Germany,DAX,0.63,-1.65,0.45,7.56,13.98,16.54
United Kingdom,FTSE 100,-0.36,0.29,3.1,3.02,1.2,13.49
France,CAC 40,0.43,-0.91,-1.46,6.65,6.99,27.96
Euro Zone,Euro Stoxx 50,0.58,-1.24,-0.05,10.22,13.5,23.57
Netherlands,AEX,0.07,-0.09,3.79,12.36,16.11,23.34
Spain,IBEX 35,0.01,-2.06,0.84,5.79,14.14,24.07
Italy,FTSE MIB,0.52,-1.1,0.0,11.82,21.77,37.16
Switzerland,SMI,0.16,-1.29,-2.38,2.34,0.49,1.2
Portugal,PSI,-1.08,0.05,2.25,-1.99,1.88,24.97
Belgium,BEL 20,0.07,0.06,4.56,3.9,0.37,-3.17
Austria,ATX,-0.44,-1.54,3.72,2.97,8.57,9.42
Sweden,OMXS30,0.65,0.04,-0.4,5.31,12.18,10.65
Denmark,OMXC25,0.28,-0.82,-0.83,4.94,4.48,9.97
Russia,MOEX,0.53,1.59,5.29,12.12,36.0,-3.44
Russia,RTSI,0.18,0.38,4.28,7.77,18.79,-22.01
Poland,WIG20,0.29,-2.15,4.35,4.71,32.31,21.92
Hungary,Budapest SE,0.12,1.12,3.54,11.0,55.46,56.49
Türkiye,BIST 100,-1.37,-0.79,9.64,29.58,90.07,587.42
Israel,TA 35,-1.23,-4.32,1.61,2.63,10.2,17.31
Saudi Arabia,Tadawul All Share,0.33,0.02,-0.16,6.19,15.19,27.24
Japan,Nikkei 225,-0.9,-0.35,1.3,17.17,37.61,32.09
Australia,S&P/ASX 200,-0.46,-0.47,1.07,2.13,5.31,9.75
New Zealand,DJ New Zealand,-0.15,-0.36,-1.17,0.67,1.37,-14.47
China,Shanghai,1.26,0.34,0.09,2.77,-8.41,-10.78
China,SZSE Component,1.53,-0.27,-2.53,-1.63,-20.6,-31.71
China,China A50,2.49,0.62,0.77,6.16,-6.91,-27.43
China,DJ Shanghai,1.18,0.18,-1.07,0.59,-12.26,-18.29
Hong Kong,Hang Seng,-0.72,-0.79,-0.72,-2.62,-18.78,-42.7
Taiwan,Taiwan Weighted,-0.08,1.56,5.36,15.65,30.18,20.85
Thailand,SET,-0.84,1.51,0.75,-1.38,-12.32,-9.85
South Korea,KOSPI,-0.44,-1.75,0.12,0.56,3.84,-16.52
Indonesia,IDX Composite,0.45,0.0,-0.56,0.19,6.87,19.73
India,Nifty 50,-1.1,-1.74,1.13,2.49,24.93,52.37
India,BSE Sensex,-1.14,-1.8,1.04,1.61,21.46,50.31
Philippines,PSEi Composite,-1.46,-2.65,-3.81,1.74,1.24,1.04
Pakistan,Karachi 100,0.42,1.42,8.94,13.06,75.62,55.85
Vietnam,VN 30,-4.42,-2.14,-2.27,8.52,15.47,-3.84
Sri Lanka,CSE All-Share,-0.22,0.72,5.91,12.69,27.52,57.96
