Country,Indices,Last,High,Low,Chg.,Chg%,Date/Time
Argentina,S&P Merval,1229629.88,1248385.88,1224206.13,-14893.83,-1.2,2024-04-15 11:12:00
Argentina,S&P/BYMA Argentina General,52585376.0,53323636.0,52414512.0,-610328.0,-1.15,2024-04-15 11:12:00
Australia,S&P/ASX 200,7752.5,7788.9,7735.2,-35.6,-0.46,2024-04-15 02:04:59
Australia,ASX All Ordinaries,8009.4,8050.6,7991.2,-40.8,-0.51,2024-04-15 02:04:59
Australia,ASX Small Ordinaries,3053.4,3084.6,3042.1,-31.2,-1.01,2024-04-15 02:04:59
Australia,S&P/ASX 100,6504.3,6532.8,6489.6,-26.8,-0.41,2024-04-15 02:04:59
Australia,S&P/ASX 20,4350.6,4361.2,4338.1,-7.0,-0.16,2024-04-15 02:04:59
Australia,S&P/ASX 300,7705.4,7743.1,7688.2,-37.0,-0.48,2024-04-15 02:04:59
Australia,S&P/ASX 50,7608.4,7636.5,7590.7,-24.7,-0.32,2024-04-15 02:04:59
Australia,S&P/ASX All Australian 200,7770.8,7806.8,7753.3,-34.9,-0.45,2024-04-15 02:04:59
Australia,S&P/ASX All Australian 50,7675.5,7703.8,7657.3,-24.9,-0.32,2024-04-15 02:04:59
Australia,S&P/ASX Midcap 50,9530.6,9623.9,9506.6,-93.3,-0.97,2024-04-15 02:04:59
Austria,ATX,3536.89,3572.46,3536.04,-17.93,-0.5,2024-04-15 11:28:00
Austria,ATX 5,1646.53,1667.75,1646.37,-11.63,-0.7,2024-04-15 11:28:00
Austria,ATX Prime,1773.66,1789.99,1773.24,-8.18,-0.46,2024-04-15 11:28:00
Austria,FTSE Austria,363.35,363.35,363.35,1.74,0.48,
Austria,Immobilien ATX EUR,350.2,350.65,344.35,2.57,0.74,2024-04-15 11:28:00
Austria,New Europe Blue Chip EUR,1376.59,1387.7,1375.94,-3.35,-0.24,2024-04-15 11:28:00
Bahrain,Bahrain All Share,2040.42,2041.12,2022.31,18.11,0.9,
Bangladesh,DSE 30,2032.37,2032.37,2032.37,-1.03,-0.05,
Bangladesh,DSE Broad,5864.09,5864.09,5864.09,3.86,0.07,
Belgium,BEL 20,3852.2,3879.8,3846.1,2.8,0.07,2024-04-15 11:30:00
Belgium,BEL 20 GR,12131.48,12131.48,12131.48,41.56,0.34,
Belgium,BEL 20 Net Return,8989.49,8989.49,8989.49,30.79,0.34,
Belgium,BEL Mid,6968.23,7044.78,6968.23,-6.41,-0.09,
Belgium,BEL Small,9295.3,9368.76,9281.35,21.62,0.23,
Bosnia-Herzegovina,BIRS,917.46,917.46,917.46,0.0,0.0,2024-04-15 02:16:00
Botswana,BSE Domestic Company,9087.92,9087.92,9087.92,-3.03,-0.03,
Botswana,BSE Foreign Company,2475.15,2475.15,2475.15,0.0,0.0,
Brazil,Bovespa,126123.0,126250.0,125641.0,177.0,0.14,2024-04-15 11:28:30
Brazil,Brazil 50,21103.95,21123.02,21006.45,53.85,0.26,2024-04-15 11:28:30
Brazil,Tag Along,28128.65,28215.15,28065.48,-4.73,-0.02,2024-04-15 11:17:00
Brazil,Brazil broad-Based,4972.71,4987.33,4964.25,-4.39,-0.09,2024-04-15 11:17:00
Brazil,Brazil Index,53250.96,53310.21,53039.63,85.87,0.16,2024-04-15 11:28:30
Brazil,Mid-Large Cap Index,2527.08,2533.45,2519.99,1.6,0.06,2024-04-15 11:17:00
Brazil,S&P/B3 Ibovespa VIX,17.2,17.65,16.5,0.21,1.24,2024-04-15 11:17:15
Brazil,Small Cap Index,2118.2,2139.81,2111.66,-21.6,-1.01,2024-04-15 11:28:30
Bulgaria,BSE SOFIX,809.86,812.78,808.46,-1.97,-0.24,
Bulgaria,BGBX40,165.1,165.74,164.88,-0.45,-0.27,
Bulgaria,BGTR30,816.41,819.97,816.41,-3.19,-0.39,
Canada,S&P/TSX,21864.08,22025.04,21822.05,-35.91,-0.16,2024-04-15 11:43:31
Canada,S&P/TSX 60,1309.89,1319.57,1307.44,-1.71,-0.13,2024-04-15 11:43:31
Canada,S&P/TSX Smallcap,757.59,766.77,755.75,-5.57,-0.73,2024-04-15 11:43:17
Canada,S&P/TSX Completion,1319.38,1329.51,1316.05,-4.01,-0.3,2024-04-15 11:43:17
Canada,S&P/TSX Venture,583.36,590.99,582.77,-4.35,-0.74,2024-04-15 11:43:31
Chile,S&P CLX IPSA,6515.83,6611.67,6505.62,-48.25,-0.74,2024-04-15 11:43:24
Chile,S&P CLX IGPA,33022.38,33480.84,32978.81,-237.4,-0.71,2024-04-15 11:43:24
China,CSI 1000,5287.51,5364.59,5205.71,-51.26,-0.96,2024-04-15 03:59:57
China,Shanghai,3057.38,3066.94,2995.54,37.9,1.26,2024-04-15 03:59:33
China,SZSE Component,9369.7,9407.07,9189.96,141.47,1.53,2024-04-15 03:44:33
China,China A50,12212.75,12224.0,11894.02,296.68,2.49,2024-04-15 03:00:00
China,S&P/CITIC300,3168.02,3203.66,3162.58,-24.19,-0.76,
China,S&P/CITIC50,3159.28,3198.17,3153.28,-28.6,-0.9,
China,Shanghai SE A Share,3205.24,3215.29,3140.37,39.76,1.26,2024-04-15 03:59:33
China,SSE 100,5242.1,5270.27,5138.03,70.53,1.36,2024-04-15 03:59:45
Colombia,COLCAP,1385.85,1393.89,1385.81,-4.89,-0.35,2024-04-15 11:43:30
Colombia,COLEQTY,1007.81,1021.4,1007.17,0.0,0.0,
Colombia,FTSE Colombia,3882.04,3882.04,3882.04,0.0,0.0,
Costa Rica,Costa Rica Indice Accionario,11893.08,11893.08,11893.08,0.0,0.0,
Cote D'Ivoire,BRVM 10,182.96,182.96,182.96,1.31,0.72,
Cote D'Ivoire,BRVM Composite,218.34,218.79,215.97,-0.45,-0.21,
Croatia,CROBEX,2831.55,2836.69,2823.35,1.66,0.06,2024-04-15 10:00:00
Croatia,CROBEX10,1704.04,1708.14,1698.13,-4.15,-0.24,2024-04-15 10:00:00
Cyprus,Cyprus Main Market,114.58,114.8,113.72,-0.22,-0.19,
Cyprus,Cyprus Alternative Market,1172.38,1186.05,1170.48,-10.44,-0.88,
Cyprus,Cyprus Main and Parallel Market,145.5,145.97,144.87,-0.46,-0.32,
Czech Republic,PX,1558.96,1562.81,1547.79,12.07,0.78,
Czech Republic,FTSE Czech Republic,1624.18,1624.18,1624.18,0.0,0.0,
Czech Republic,OETOB Czech Traded (CZK),1818.31,1823.28,1814.62,-2.71,-0.15,2024-04-15 10:22:35
Czech Republic,OETOB Czech Traded (EUR),1951.79,1959.45,1949.83,-1.57,-0.08,2024-04-15 10:24:00
Czech Republic,OETOB Czech Traded (USD),2074.28,2088.35,2073.01,-2.24,-0.11,2024-04-15 10:24:00
Czech Republic,PX-GLOB,2018.84,2018.84,2018.84,20.89,1.05,
Denmark,OMXC20,2648.05,2668.66,2641.14,1.49,0.06,2024-04-15 10:59:59
Denmark,OMXC25,1911.22,1921.99,1908.53,5.28,0.28,2024-04-15 11:00:00
Denmark,OMX Copenhagen All shares,3467.91,3491.05,3461.94,2.34,0.07,2024-04-15 11:00:34
Denmark,OMX Copenhagen Benchmark,4263.55,4294.72,4254.77,3.35,0.08,2024-04-15 11:00:34
Denmark,OMX Copenhagen Mid Cap,888.51,895.51,888.51,-0.06,-0.01,2024-04-15 11:00:34
Denmark,OMX Copenhagen Small Cap,523.94,528.24,523.08,-1.67,-0.32,2024-04-15 11:00:34
Ecuador,Guayaquil Select,147.45,147.45,147.45,0.0,0.0,
Ecuador,Ecuador General Adj,1142.39,1142.39,1142.39,0.0,0.0,
Egypt,EGX 30,29616.47,29664.3,28130.53,1112.72,3.9,2024-04-15 08:16:59
Egypt,EGX 70,6696.15,6696.15,6465.12,154.63,2.36,2024-04-15 08:16:59
Egypt,S&P/ESG Egypt,684.76,684.76,684.76,-1.79,-0.26,
Egypt,EGX 30 Capped,36367.17,36367.17,34401.59,1422.06,4.07,2024-04-15 08:16:59
Estonia,Tallinn SE General,1791.02,1799.62,1784.28,9.21,0.52,
Finland,OMX Helsinki 25,4425.86,4486.58,4422.72,-25.42,-0.57,2024-04-15 11:29:59
Finland,OMX Helsinki 25 Growth,6758.58,6851.21,6753.79,-31.5,-0.46,2024-04-15 11:29:59
Finland,OMX Helsinki,9837.99,9966.82,9836.85,-65.22,-0.66,2024-04-15 11:29:34
Finland,OMX Helsinki Benchmark,52.23,52.93,52.22,-0.3,-0.57,2024-04-15 11:29:34
Finland,OMX Helsinki Cap PI,7249.89,7339.75,7249.17,-44.25,-0.61,2024-04-15 11:29:34
Finland,OMX Helsinki Mid Cap,394.82,397.47,394.72,-1.19,-0.3,2024-04-15 11:29:34
Finland,OMX Helsinki Small Cap PI,471.12,473.38,469.09,-0.55,-0.12,2024-04-15 11:29:34
France,CAC 40,8045.11,8126.38,8028.84,34.28,0.43,2024-04-15 11:35:45
France,CAC All Shares,9601.04,9745.02,9567.52,-37.21,-0.39,
France,CAC All-Tradable,5928.36,6008.95,5907.37,-11.14,-0.19,
France,CAC Large 60,8603.65,8719.21,8571.71,-15.12,-0.18,
France,CAC Mid & Small,14267.59,14499.18,14256.06,-54.35,-0.38,
France,CAC Mid 60,14640.46,14883.44,14628.06,-50.16,-0.34,
France,CAC Next 20,11101.32,11271.69,11074.4,-53.23,-0.48,
France,CAC Small,11739.13,11902.07,11729.78,-87.55,-0.74,
France,EuroNext 100,1521.43,1537.75,1516.62,3.34,0.22,
France,Next 150,3360.4,3400.88,3355.19,0.32,0.01,
France,SBF 120,6059.85,6142.22,6038.28,-11.19,-0.18,
Germany,DAX,18009.5,18195.15,17972.05,105.35,0.59,2024-04-15 11:43:36
Euro Zone,Euro Stoxx 50,4983.65,5035.45,4972.05,28.64,0.58,2024-04-15 11:35:00
Germany,Classic All Share,9170.15,9293.97,9167.57,-54.59,-0.59,2024-04-15 11:28:00
Germany,Midcap,26431.89,26831.75,26410.89,-145.71,-0.55,2024-04-15 11:28:36
Germany,Technology All Share,3939.43,3981.78,3927.57,-10.08,-0.26,2024-04-15 11:28:00
Germany,HDAX,9602.73,9709.62,9593.45,26.34,0.28,2024-04-15 11:28:00
Germany,Prime All Share,7093.02,7171.03,7076.21,16.81,0.24,2024-04-15 11:28:00
Germany,SDAX,14258.98,14404.83,14239.97,-89.49,-0.62,2024-04-15 11:28:00
Germany,TecDAX,3331.54,3368.44,3320.36,5.28,0.16,2024-04-15 11:28:36
Greece,Athens General Composite,1390.69,1397.33,1375.44,-9.92,-0.71,2024-04-15 10:19:31
Greece,FTSE/Athex 20,3372.55,3390.31,3334.05,-23.19,-0.68,2024-04-15 10:19:31
Hong Kong,FTSE China 50,11144.86,11174.42,11023.41,-51.95,-0.46,2024-04-15 01:00:00
Hong Kong,Hang Seng,16600.46,16647.09,16465.4,-121.23,-0.72,2024-04-15 04:08:28
Hong Kong,FTSE EPRA/NAREIT Hong Kong,1003.24,1011.91,999.94,-10.89,-1.07,2024-04-15 04:14:00
Hong Kong,Hang Seng CCI,3461.2,3478.23,3426.57,-0.37,-0.01,2024-04-15 01:00:00
Hong Kong,Hang Seng CEI,5856.44,5871.42,5795.02,-23.14,-0.39,2024-04-15 04:08:28
Hungary,Budapest SE,67289.07,67866.83,67155.52,84.0,0.12,
Hungary,BUMIX,6069.8,6093.89,6043.77,-2.24,-0.04,
Hungary,FTSE Hungary,5557.32,5557.32,5557.32,0.0,0.0,
Hungary,HTX (EUR),5509.74,5599.49,5498.28,-63.25,-1.13,
Hungary,HTX (HUF),14062.98,14187.62,14029.28,-32.73,-0.23,
Hungary,HTX (USD),5857.13,5980.39,5845.87,-109.03,-1.83,
Iceland,ICEX Main,2083.83,2083.83,2063.07,20.76,1.01,2024-04-15 11:30:34
Iceland,ICEX All Share Total Return,1220.05,1220.05,1207.89,12.16,1.01,2024-04-15 11:30:34
Iceland,OMX Iceland Mid Cap PI,114.43,114.56,114.09,0.33,0.29,2024-04-15 11:23:34
Iceland,OMX Iceland Small Cap PI,371.53,371.84,369.72,-0.31,-0.08,2024-04-15 11:21:34
Iceland,OMXI15 ISK Index,2360.2,2363.21,2349.98,10.22,0.43,2024-04-15 11:30:34
India,BSE Sensex,73399.78,73905.8,73315.16,-845.12,-1.14,2024-04-15 06:01:57
India,Nifty 50,22272.5,22427.45,22259.55,-246.9,-1.1,2024-04-15 06:02:23
India,Nifty Midcap 150,18283.2,18392.95,18062.4,-251.5,-1.36,2024-04-15 06:02:23
India,India VIX,12.4675,12.7375,11.3075,0.935,8.11,2024-04-15 06:03:13
India,Nifty 100,22967.1,23139.3,22908.6,-287.8,-1.24,2024-04-15 06:02:23
India,Nifty 200,12397.4,12489.9,12352.1,-161.9,-1.29,2024-04-15 06:02:23
India,Nifty 50 USD,9353.41,9353.41,9353.41,-123.35,-1.3,
India,Nifty 50 Value 20,12204.9,12291.9,12197.35,-125.65,-1.02,2024-04-15 06:02:23
India,Nifty 500,20478.75,20623.8,20362.3,-266.75,-1.29,2024-04-15 06:02:23
India,NIFTY Midcap 100,49281.0,49644.75,48785.85,-786.55,-1.57,2024-04-15 06:02:23
India,Nifty Midcap 50,13841.3,13935.45,13752.65,-207.8,-1.48,2024-04-15 06:02:23
India,Nifty Next 50,62008.15,62716.65,61330.0,-1059.7,-1.68,2024-04-15 06:02:23
India,NIFTY Smallcap 100,16211.0,16363.3,15911.85,-285.4,-1.73,2024-04-15 06:02:23
India,Nifty Smallcap 250,15086.65,15201.75,14792.1,-235.5,-1.54,2024-04-15 06:02:23
India,NIfty smallcap 50,7543.0,7610.75,7411.55,-106.75,-1.4,2024-04-15 06:02:23
India,S&P BSE ALLCAP,9420.72,9486.0,9330.79,-123.65,-1.3,2024-04-15 06:01:56
India,BSE MidCap,40293.72,40602.01,39499.64,-615.31,-1.5,2024-04-15 06:01:56
India,BSE SmallCap,45166.87,45487.4,44272.65,-705.2,-1.54,2024-04-15 06:01:56
India,S&P BSE-100,23334.16,23496.87,23214.96,-277.05,-1.17,2024-04-15 06:01:57
India,S&P BSE-200,10150.36,10222.78,10073.13,-125.36,-1.22,2024-04-15 06:01:56
India,S&P BSE-500,32365.11,32588.12,32074.46,-407.15,-1.24,2024-04-15 06:01:56
Indonesia,IDX Composite,7286.88,7298.86,7239.27,32.48,0.45,
Indonesia,FTSE Indonesia,3705.59,3705.59,3705.59,-13.33,-0.36,
Indonesia,IDX Kompas 100,1175.24,1181.67,1173.98,-2.92,-0.25,
Indonesia,IDX PEFINDO-25,223.05,225.33,223.05,-1.68,-0.75,
Indonesia,IDX LQ45,963.73,970.61,963.49,-4.04,-0.42,
Iraq,ISX Main 60,919.4,919.4,919.4,7.89,0.87,2024-04-15 06:55:00
Ireland,ISEQ Overall,9891.51,10097.77,9842.94,-92.16,-0.92,
Ireland,FTSE Ireland,443.26,443.26,443.26,0.0,0.0,
Ireland,ISEQ 20 Price,1642.94,1674.95,1635.94,-13.96,-0.84,
Ireland,ISEQ Small Capital,977.81,985.13,977.81,0.0,0.0,
Israel,TA 35,1914.43,1968.33,1911.98,-23.75,-1.23,2024-04-15 10:24:59
Israel,TA 125,1938.67,1989.87,1934.94,-20.37,-1.04,2024-04-15 10:35:59
Israel,TA 90,2083.48,2127.43,2072.08,-8.86,-0.42,2024-04-15 10:35:59
Israel,TA Allshare,1792.84,1827.75,1786.72,-4.22,-0.23,2024-04-15 10:35:59
Israel,TA Growth,1568.87,1579.9,1560.46,10.98,0.7,2024-04-15 10:35:59
Israel,TA-SME60,694.72,708.42,691.19,0.07,0.01,2024-04-15 10:35:59
Israel,TASE VIX VTA35,24.75,25.51,18.97,0.7,2.91,2024-04-15 10:35:59
Italy,FTSE Italia All Share,36089.5,36453.09,36049.04,168.09,0.47,2024-04-15 11:28:30
Italy,FTSE IT Mid Cap,46964.25,47301.67,46901.51,119.03,0.25,2024-04-15 11:28:30
Italy,FTSE IT Small Cap,28068.25,28276.58,28051.89,-21.07,-0.08,2024-04-15 11:28:30
Italy,FTSE MIB TR EUR,81810.04,81810.04,81810.04,121.66,0.15,
Italy,Italy 40,3260.1,3292.6,3253.2,17.7,0.55,2024-04-15 11:34:59
Jamaica,JSE Market,326755.0,326755.0,326755.0,0.0,0.0,
Jamaica,JSE All Jamaican Composite,366501.0,366501.0,366501.0,0.0,0.0,
Japan,Nikkei 225,39209.5,39214.5,38816.5,-357.5,-0.9,2024-04-15 01:59:59
Japan,JPX-Nikkei 400,24907.51,24907.51,24620.84,-85.12,-0.34,2024-04-15 02:00:00
Japan,Nikkei 300,590.91,592.92,589.16,2.27,0.39,
Japan,Nikkei 500,3364.54,3379.97,3360.45,14.06,0.42,
Japan,Nikkei Volatility,19.97,20.37,19.92,-0.76,-3.67,
Japan,TOPIX,2753.2,2753.2,2719.47,-6.44,-0.23,2024-04-15 02:00:01
Japan,Topix 100,1890.2,1890.2,1867.02,-6.78,-0.36,2024-04-15 02:00:00
Japan,Topix 1000,2606.16,2606.16,2573.92,-6.19,-0.24,2024-04-15 02:00:01
Japan,Topix 500,2154.16,2154.16,2127.18,-5.5,-0.25,2024-04-15 02:00:01
Jordan,Amman SE General,2455.33,2462.65,2444.77,6.08,0.25,2024-04-15 07:45:00
Jordan,Amman SE AllShare,4560.92,4560.92,4560.92,30.19,0.67,2024-04-15 07:30:00
Kazakhstan,KASE,4971.85,4986.46,4933.08,-15.33,-0.31,2024-04-15 08:31:00
Kenya,Kenya NSE 20,1724.86,1724.86,1724.86,-16.26,-0.93,
Kenya,Nairobi All Share,110.63,110.63,110.63,0.44,0.4,
Kuwait,Main Market 50,5823.51,5853.26,5769.67,-61.98,-1.05,
Kuwait,Premier Market PR,7780.41,7811.66,7762.67,-79.02,-1.01,
Kuwait,All Share PR,7116.98,7141.89,7102.4,-70.15,-0.98,
Kuwait,Main Market PR,5910.87,5933.06,5872.5,-49.43,-0.83,
Latvia,Riga General,1326.95,1328.59,1322.44,2.89,0.22,
Lebanon,BLOM Stock,1688.98,1697.28,1687.2,1.78,0.11,
Lebanon,BDL STOCK IX,3445.25,3445.25,3445.25,113.92,3.42,
Lebanon,Beirut Stock,39.62,39.62,35.15,4.47,12.73,2024-04-15 06:07:00
Lithuania,Vilnius SE General,962.48,962.48,962.48,5.44,0.57,
Malaysia,KLCI,1542.53,1548.34,1542.53,-8.51,-0.55,2024-04-15 05:05:00
Malaysia,Malaysia ACE,4996.47,5071.16,4972.05,-103.65,-2.03,2024-04-15 04:59:00
Malaysia,FTSE BM Mid 70,16159.85,16329.08,16159.85,-232.72,-1.42,2024-04-15 04:59:45
Malaysia,Malaysia Top 100,11239.06,11290.74,11239.06,-87.86,-0.78,2024-04-15 04:59:45
Malaysia,FTSE Malaysia,222.63,222.63,222.63,0.0,0.0,
Malta,MSE,3744.05,3744.05,3744.05,-1.99,-0.05,
Mauritius,Semdex,2144.83,2144.83,2144.83,3.0,0.14,
Mexico,FTSE BIVA Real Time Price,1157.57,1162.44,1156.2,-1.68,-0.14,2024-04-15 11:28:00
Mexico,S&P/BMV IPC,56399.27,56709.12,56382.37,-166.65,-0.29,2024-04-15 11:23:00
Mexico,S&P/BMV INMEX,3485.14,3503.14,3483.13,-7.9,-0.23,2024-04-15 11:23:00
Mexico,S&P/BMV IPC CompMx,469.55,471.75,469.35,-1.12,-0.24,2024-04-15 11:23:00
Mongolia,MNE Top 20,41420.71,41420.71,41420.71,-352.65,-0.85,2024-04-15 11:00:00
Montenegro,MNSE 10,1026.43,1026.43,1026.43,-6.11,-0.59,
Montenegro,MONEX,14802.43,14802.43,14802.43,0.0,0.0,
