Country,Name,Month,Last,High,Low,Chg.,Chg%,Date/Time
United States,US 30,,"38,145.70","38,376.50","37,971.50",+162.50,+0.43%,12:02:34
United States,US 500,,"5,140.70","5,169.90","5,122.90",+17.30,+0.34%,12:02:33
United States,US Tech 100,,"18,043.10","18,178.50","17,981.50",+39.60,+0.22%,12:02:35
United States,Small Cap 2000,,"1,998.00","2,019.50","1,985.30",-5.20,-0.26%,12:02:34
United States,S&P 500 VIX,May 24,16.88,17.50,16.48,-0.24,-1.38%,12:00:24
Germany,DAX,Jun 24,"18,263.00","18,422.50","18,079.00",+131.00,+0.72%,12:02:32
France,CAC 40,May 24,"7,983.20","8,060.20","7,910.40",+39.70,+0.50%,12:02:34
United Kingdom,FTSE 100,Jun 24,"7,988.20","8,031.20","7,955.00",+32.10,+0.40%,12:02:34
Euro Zone,Euro Stoxx 50,Jun 24,"4,942.00","4,990.00","4,894.00",+42.00,+0.86%,12:00:42
Italy,FTSE MIB,Jun 24,"33,360.00","33,660.00","33,180.00",+226.00,+0.68%,12:02:33
Switzerland,SMI,Jun 24,"11,329.50","11,393.50","11,300.50",+31.50,+0.28%,12:00:18
Spain,IBEX 35,May 24,"10,661.50","10,735.00","10,626.00",+10.50,+0.10%,12:00:20
Russia,RTS,,"115,250.00","115,590.00","113,850.00",+960.00,+0.84%,12/04
Poland,WIG20,Jun 24,"2,438.00","2,462.00","2,430.00",+9.00,+0.37%,11:04:00
Netherlands,AEX,May 24,879.70,885.53,876.08,+1.57,+0.18%,12:02:35
Brazil,iBovespa,,"126,184.00","126,634.00","125,632.00",+234.00,+0.19%,12:00:00
Japan,Nikkei 225,Jun 24,"39,237.50","39,507.50","38,835.00",+362.50,+0.93%,12:00:31
Japan,TOPIX,,"2,751.50","2,760.00","2,717.00",-6.50,-0.24%,01:00:00
Hong Kong,Hang Seng,Apr 24,"16,530.00","16,667.50","16,372.00",+50.00,+0.30%,12:02:32
Hong Kong,China H-Shares,,"5,900.00","6,017.00","5,880.00",-125.00,-2.07%,12/04
China,CSI 300,,"3,479.60","3,518.00","3,465.20",-24.80,-0.71%,12/04
Singapore,China A50,Apr 24,"12,210.00","12,251.00","11,839.00",+308.00,+2.59%,11:59:43
Australia,S&P/ASX 200,Jun 24,"7,771.00","7,820.50","7,759.50",-1.00,-0.01%,12:00:19
Singapore,Singapore MSCI,Apr 24,287.57,289.57,285.50,-4.78,-1.64%,12:00:16
India,Nifty 50,Apr 24,"22,363.00","22,518.00","22,343.00",-238.45,-1.06%,06:00:00
India,Bank NIFTY,Apr 24,"47,828.95","48,449.85","47,573.75",-885.15,-1.82%,05:59:59
South Korea,KOSPI 200,Jun 24,366.95,367.40,362.60,-1.70,-0.46%,02:09:52
Singapore,SGX FTSE Taiwan F,Apr 24,"1,720.50","1,728.50","1,717.50",-2.00,-0.12%,11:57:37
South Africa,South Africa 40,Jun 24,"68,836.00","69,724.00","68,795.00",-785.00,-1.13%,11:29:00
Germany,TecDAX,Jun 24,"3,374.50","3,377.25","3,348.00",+20.50,+0.61%,12:00:17
