Country,Indices,Last,High,Low,Chg.,Chg%,Date/Time
Argentina,S&P Merval,"1,229,629.88","1,248,385.88","1,224,206.13",-14893.83,-1.20%,11:12:00
Argentina,S&P/BYMA Argentina General,"52,585,376","53,323,636","52,414,512",-610328,-1.15%,11:12:00
Australia,S&P/ASX 200,"7,752.50","7,788.90","7,735.20",-35.60,-0.46%,02:04:59
Australia,ASX All Ordinaries,"8,009.40","8,050.60","7,991.20",-40.80,-0.51%,02:04:59
Australia,ASX Small Ordinaries,"3,053.40","3,084.60","3,042.10",-31.20,-1.01%,02:04:59
Australia,S&P/ASX 100,"6,504.30","6,532.80","6,489.60",-26.80,-0.41%,02:04:59
Australia,S&P/ASX 20,"4,350.60","4,361.20","4,338.10",-7.00,-0.16%,02:04:59
Australia,S&P/ASX 300,"7,705.40","7,743.10","7,688.20",-37.00,-0.48%,02:04:59
Australia,S&P/ASX 50,"7,608.40","7,636.50","7,590.70",-24.70,-0.32%,02:04:59
Australia,S&P/ASX All Australian 200,"7,770.80","7,806.80","7,753.30",-34.90,-0.45%,02:04:59
Australia,S&P/ASX All Australian 50,"7,675.50","7,703.80","7,657.30",-24.90,-0.32%,02:04:59
Australia,S&P/ASX Midcap 50,"9,530.60","9,623.90","9,506.60",-93.30,-0.97%,02:04:59
Austria,ATX,"3,536.89","3,572.46","3,536.04",-17.93,-0.50%,11:28:00
Austria,ATX 5,"1,646.53","1,667.75","1,646.37",-11.63,-0.70%,11:28:00
Austria,ATX Prime,"1,773.66","1,789.99","1,773.24",-8.18,-0.46%,11:28:00
Austria,FTSE Austria,363.35,363.35,363.35,+1.74,+0.48%,12/04
Austria,Immobilien ATX EUR,350.20,350.65,344.35,+2.57,+0.74%,11:28:00
Austria,New Europe Blue Chip EUR,"1,376.59","1,387.70","1,375.94",-3.35,-0.24%,11:28:00
Bahrain,Bahrain All Share,"2,040.42","2,041.12","2,022.31",+18.11,+0.90%,09/04
Bangladesh,DSE 30,"2,032.37","2,032.37","2,032.37",-1.03,-0.05%,09/04
Bangladesh,DSE Broad,"5,864.09","5,864.09","5,864.09",+3.86,+0.07%,09/04
Belgium,BEL 20,"3,852.20","3,879.80","3,846.10",+2.80,+0.07%,11:30:00
Belgium,BEL 20 GR,"12,131.48","12,131.48","12,131.48",+41.56,+0.34%,12/04
Belgium,BEL 20 Net Return,"8,989.49","8,989.49","8,989.49",+30.79,+0.34%,12/04
Belgium,BEL Mid,"6,968.23","7,044.78","6,968.23",-6.41,-0.09%,12/04
Belgium,BEL Small,"9,295.30","9,368.76","9,281.35",+21.62,+0.23%,12/04
Bosnia-Herzegovina,BIRS,917.46,917.46,917.46,+0.00,+0.00%,02:16:00
Botswana,BSE Domestic Company,"9,087.92","9,087.92","9,087.92",-3.03,-0.03%,12/04
Botswana,BSE Foreign Company,"2,475.15","2,475.15","2,475.15",0.00,0.00%,12/04
Brazil,Bovespa,"126,123","126,250","125,641",+177,+0.14%,11:28:30
Brazil,Brazil 50,"21,103.95","21,123.02","21,006.45",+53.85,+0.26%,11:28:30
Brazil,Tag Along,"28,128.65","28,215.15","28,065.48",-4.73,-0.02%,11:17:00
Brazil,Brazil broad-Based,"4,972.71","4,987.33","4,964.25",-4.39,-0.09%,11:17:00
Brazil,Brazil Index,"53,250.96","53,310.21","53,039.63",+85.87,+0.16%,11:28:30
Brazil,Mid-Large Cap Index,"2,527.08","2,533.45","2,519.99",+1.60,+0.06%,11:17:00
Brazil,S&P/B3 Ibovespa VIX,17.20,17.65,16.50,+0.21,+1.24%,11:17:15
Brazil,Small Cap Index,"2,118.20","2,139.81","2,111.66",-21.60,-1.01%,11:28:30
Bulgaria,BSE SOFIX,809.86,812.78,808.46,-1.97,-0.24%,12/04
